,fi,ru,sv,en,es,it,ar,ja,nds,tr,fr,zh,de,pl,ko,pt,la,uk,et,vi,da,th,eo,no,nl,fa,ca,hu,cs,lv,he,id,lt,el,lang_count,park_id,users,posts
305692,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,305692,4,4
306039,28.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,306039,14,29
306433,98.0,25.0,3.0,21.0,,7.0,,1.0,,,6.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,11,306433,121,165
306437,22.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,5,306437,28,29
309826,7.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,309826,7,11
309827,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,309827,2,2
310186,28.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,310186,23,29
310586,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,310586,1,1
310587,59.0,20.0,5.0,54.0,8.0,1.0,3.0,4.0,,1.0,,,2.0,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,2.0,,17,310587,131,171
310588,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,310588,2,6
310991,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,310991,3,6
310993,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,310993,4,7
310996,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,310996,4,6
311394,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,311394,2,8
313248,10.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,313248,10,12
313621,57.0,3.0,2.0,8.0,1.0,2.0,,,,,,,2.0,,,,,,,,,,,,1.0,,,3.0,,,,,,,9,313621,48,80
313969,31.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3,313969,20,33
313970,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,313970,3,3
314336,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,314336,1,1
314337,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,314337,2,2
314700,144.0,2.0,,13.0,2.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,6,314700,109,165
315079,27.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,315079,29,37
315080,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,315080,4,9
315437,32.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,4,315437,28,36
315438,62.0,1.0,3.0,12.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5,315438,63,79
316925,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,316925,1,1
318397,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,318397,1,1
321827,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,321827,2,2
666071,433.0,2.0,9.0,30.0,1.0,3.0,,,,,1.0,,3.0,,,1.0,,,2.0,,,,2.0,,,,,,,,,,,,11,666071,303,491
666585,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,666585,1,1
668187,52.0,,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,668187,43,62
669101,38.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,669101,35,43
671174,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,671174,3,4
671964,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,671964,4,5
673744,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,673744,1,1
674701,31.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,674701,30,38
676113,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,676113,2,2
676217,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1,676217,1,1
676470,65.0,,1.0,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,676470,66,79
677526,248.0,45.0,7.0,52.0,7.0,5.0,,12.0,,2.0,6.0,2.0,4.0,1.0,5.0,4.0,,1.0,1.0,,,,,3.0,1.0,,,,,,,,,,18,677526,353,425
678748,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,678748,6,8
678893,882.0,232.0,31.0,108.0,14.0,12.0,1.0,3.0,,1.0,2.0,1.0,3.0,1.0,2.0,6.0,,1.0,12.0,,,,1.0,,,,,,,3.0,,,,,19,678893,1035,1362
678961,188.0,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,678961,91,196
679663,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,679663,1,1
680816,21.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,680816,18,24
681865,3.0,1.0,,43.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4,681865,48,55
684257,553.0,28.0,14.0,46.0,4.0,3.0,,2.0,,,4.0,,8.0,,,3.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,13,684257,510,676
684469,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,684469,3,3
684687,4.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,684687,6,7
685331,11.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2,685331,11,12
687838,400.0,15.0,9.0,35.0,1.0,6.0,,,,,2.0,,8.0,1.0,,3.0,,,1.0,2.0,,,2.0,,1.0,,,1.0,,,,,1.0,,16,687838,380,492
688752,97.0,,5.0,7.0,1.0,,4.0,4.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,8,688752,83,123
688889,8.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,688889,11,12
688910,10.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,688910,11,12
689166,743.0,61.0,22.0,95.0,10.0,12.0,,2.0,,1.0,3.0,,52.0,2.0,,3.0,,1.0,8.0,,,,,,1.0,,,,,1.0,,,,,16,689166,814,1025
689560,89.0,25.0,4.0,10.0,1.0,,,,,2.0,,,,,,,1.0,,7.0,,,,,1.0,1.0,,,,,,,,,,10,689560,102,146
690150,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,690150,2,2
691243,12.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,691243,15,15
691655,122.0,,4.0,12.0,2.0,13.0,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,9,691655,116,158
692032,6587.0,2850.0,508.0,6017.0,550.0,440.0,105.0,589.0,16.0,109.0,282.0,136.0,326.0,49.0,243.0,335.0,15.0,49.0,92.0,23.0,50.0,85.0,25.0,52.0,71.0,22.0,15.0,24.0,13.0,24.0,19.0,23.0,17.0,12.0,34,692032,13557,20992
693828,2.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,693828,5,5
694390,5177.0,139.0,345.0,748.0,19.0,24.0,4.0,50.0,,2.0,36.0,1.0,503.0,2.0,4.0,9.0,1.0,,14.0,1.0,7.0,2.0,57.0,15.0,8.0,,,7.0,1.0,2.0,,,,,26,694390,3717,7376
694703,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,694703,1,1
695237,23.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3,695237,21,25
696228,57.0,11.0,32.0,10.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,7,696228,67,114
696609,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,696609,3,4
697630,94.0,3.0,2.0,14.0,2.0,1.0,,4.0,,,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,10,697630,94,126
697664,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,697664,2,4
697748,4.0,1.0,,2.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,5,697748,8,10
697841,165.0,2.0,2.0,13.0,,,,,,,2.0,,1.0,3.0,,,,,,1.0,,,,,1.0,,,,,,,,,,9,697841,149,190
698037,64.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,698037,11,67
698092,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,698092,1,2
699650,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,699650,4,7
700781,15.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,700781,16,17
701061,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,701061,4,6
701317,1501.0,74.0,68.0,175.0,18.0,23.0,2.0,31.0,2.0,2.0,8.0,4.0,30.0,1.0,,26.0,3.0,3.0,1.0,,6.0,,3.0,,,,,,,,,3.0,,1.0,22,701317,1245,2029
702256,23.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,4,702256,23,30
704084,36.0,3.0,1.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,6,704084,38,46
704128,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,704128,1,1
704920,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,704920,3,3
705665,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,705665,4,4
707735,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,707735,1,1
707975,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,707975,17,19
709985,17.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,709985,14,20
710207,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,710207,4,4
710673,2401.0,148.0,88.0,402.0,24.0,45.0,2.0,13.0,1.0,9.0,55.0,4.0,24.0,3.0,6.0,19.0,5.0,2.0,10.0,,2.0,1.0,1.0,3.0,7.0,1.0,4.0,5.0,3.0,2.0,,,2.0,,30,710673,2305,3341
711711,235.0,18.0,4.0,16.0,6.0,2.0,,,,,2.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,11,711711,229,288
713263,23.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,713263,16,25
714441,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,714441,5,8
714782,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,714782,2,2
716052,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,716052,1,1
716143,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,716143,2,2
716274,62.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,716274,54,66
716652,6.0,,8.0,4.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5,716652,10,21
719445,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,719445,1,1
737187,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,737187,2,2
746003,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,746003,4,4
755306,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,755306,5,5
763276,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,763276,3,3
764708,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,764708,1,2
767148,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,767148,2,2
772936,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1,772936,1,1
783422,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,783422,1,3
790703,23.0,3.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4,790703,8,28
794077,197.0,57.0,10.0,71.0,5.0,6.0,,1.0,,1.0,3.0,4.0,5.0,,,2.0,,,2.0,1.0,,,,,1.0,,,,,1.0,,,,,16,794077,277,375
796038,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,796038,2,3
808493,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,808493,11,12
831078,12.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,831078,6,17
833587,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,833587,1,1
851944,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,851944,1,1
869370,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,869370,2,2
869702,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,869702,4,5
871241,506.0,13.0,6.0,43.0,6.0,7.0,,3.0,,3.0,5.0,3.0,9.0,3.0,6.0,5.0,3.0,,2.0,,,,,,2.0,,,,,,,,,,17,871241,382,634
879108,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,879108,2,2
879838,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,879838,1,3
880774,14.0,6.0,4.0,13.0,2.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,7,880774,43,47
888661,103.0,5.0,2.0,17.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,8,888661,95,132
902430,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,902430,1,3
910909,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,910909,7,8
913048,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,913048,4,28
914512,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,914512,1,1
920259,16.0,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3,920259,19,21
940604,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,940604,1,1
943004,7.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,943004,9,10
971267,159.0,15.0,3.0,27.0,,3.0,,,,,5.0,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,8,971267,138,219
993728,87.0,14.0,,9.0,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,1.0,,,,,,,6,993728,78,119
993754,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,993754,1,1
994028,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,994028,1,1
994316,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,994316,2,2
995304,2.0,5.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4,995304,5,9
1124147,54.0,1.0,1.0,8.0,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,6,1124147,59,70
1124178,13.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3,1124178,11,15
1124467,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1124467,1,1
1124577,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1124577,1,2
1124676,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1124676,1,1
1125156,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2,1125156,2,3
1125497,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1125497,3,4
1125536,6.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2,1125536,7,8
1125628,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1125628,5,5
1126370,166.0,5.0,4.0,15.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,8,1126370,118,195
1126386,164.0,23.0,3.0,16.0,1.0,,,,,,1.0,,,,1.0,,1.0,,2.0,,,,,1.0,,,,1.0,,,,,,,11,1126386,135,215
1126388,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1126388,14,18
1126435,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1126435,1,3
1162782,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1162782,10,22
1175811,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1175811,1,1
1185212,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1185212,27,30
1190088,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1190088,1,1
1229304,265.0,,3.0,29.0,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,9,1229304,151,304
1237371,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1237371,2,2
1267800,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1267800,1,1
1267844,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1267844,1,1
1270596,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1270596,4,4
1284111,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1284111,2,3
1297476,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1297476,2,10
1347115,15.0,,,13.0,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,3,1347115,23,62
1378657,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1378657,1,1
1401078,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1401078,7,19
1404241,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1404241,1,1
1406775,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1,1406775,1,1
1416782,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1416782,3,3
1424482,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1424482,3,4
1463198,10.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1463198,12,14
1473355,22.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1473355,19,26
1491575,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1491575,1,2
1496095,13.0,3.0,,5.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,5,1496095,18,24
1498523,86.0,2.0,,6.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,23.0,,,,,,6,1498523,37,121
1502114,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1502114,4,4
1507456,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1507456,8,9
1531002,7.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,2,1531002,3,10
1547352,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1547352,1,1
1625437,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1625437,4,5
1640013,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1640013,1,1
1651833,57.0,,2.0,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4,1651833,23,65
1669290,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1669290,1,1
1673629,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1673629,10,10
1677602,10.0,,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1677602,14,19
1688745,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1688745,3,4
1688778,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1688778,1,1
1714018,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1714018,1,1
1714647,333.0,12.0,9.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,5,1714647,207,403
1806916,21.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1806916,26,28
1824180,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1824180,2,2
1837304,13.0,,,7.0,1.0,,,,,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,5,1837304,22,26
1851893,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2,1851893,3,3
1917101,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1917101,3,3
1947875,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1947875,1,2
1959856,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1959856,1,1
1964568,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1964568,1,1
2018555,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2018555,1,3
2134910,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2134910,1,3
2228050,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2228050,2,3
2229042,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2229042,1,3
2235074,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2235074,1,1
2262574,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2262574,6,6
2280414,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1,2280414,3,3
2282300,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2282300,6,9
2439177,278.0,8.0,4.0,25.0,3.0,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,2.0,,,,,,,9,2439177,211,327
2453073,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2453073,1,2
2500548,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2500548,2,3
2510070,96.0,9.0,4.0,23.0,3.0,,1.0,,,,1.0,,,,,1.0,,,1.0,,3.0,,,,,,,,,,,,,,10,2510070,105,144
2519246,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2519246,5,9
2539700,6.0,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3,2539700,8,10
2569957,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2569957,1,1
2629743,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2629743,2,4
3257461,3.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3257461,6,6
3316451,15.0,1.0,,18.0,6.0,1.0,,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,8,3316451,38,47
3337839,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3337839,1,1
3374960,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3374960,3,3
3385325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3385325,1,1
3385326,53.0,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3385326,48,62
3385327,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3385327,1,3
3391031,70.0,4.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6,3391031,55,80
3455838,1412.0,54.0,71.0,212.0,17.0,18.0,1.0,4.0,,,14.0,1.0,15.0,6.0,4.0,7.0,2.0,,7.0,,1.0,1.0,5.0,2.0,1.0,,,2.0,,,,,,,22,3455838,1499,1903
3456515,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3456515,2,2
3506417,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3506417,1,1
3514527,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3514527,2,2
3525606,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1,3525606,1,1
5001806,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5001806,2,2
5226902,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5226902,3,3
